"odontologia" -- "materiais dentários"
"spine" -- "biomechanics"
"metallic glasses" -- "materials science"
"technology enhanced learning" -- "learning analytics"
"airway management" -- "resuscitation"
"irish" -- "romanticism"
"pmu" -- "smart grid"
"paleopathology" -- "bioarchaeology"
"transport modelling" -- "simulation"
"lymphatics" -- "tissue engineering"
"heart disease" -- "stem cells"
"human ecology" -- "sustainability"
"aquatic microbial ecology" -- "limnology"
"expert systems" -- "artificial intelligence"
"photocatalysis" -- "tio2"
"photocatalysis" -- "nanomaterials"
"photocatalysis" -- "solar energy conversion"
"photocatalysis" -- "water splitting"
"multicultural education" -- "teacher education"
"multicultural education" -- "qualitative research methods"
"chemokines" -- "immunology"
"teleoperation" -- "haptic interfaces"
"teleoperation" -- "robotics"
"text classification" -- "machine learning"
"graphical models" -- "machine learning"
"interest" -- "motivation"
"scheduling" -- "operations research"
"lexicología" -- "lexicografía"
"assessment" -- "intervention"
"assessment" -- "medical education"
"assessment" -- "school psychology"
"assessment" -- "writing assessment"
"assessment" -- "personality"
"assessment" -- "evaluation"
"assessment" -- "feedback"
"assessment" -- "personality assessment"
"metric geometry" -- "mathematics"
"gene therapy" -- "viral vectors"
"gene therapy" -- "gene editing"
"gene therapy" -- "neuroscience"
"gene therapy" -- "retinal degeneration"
"medication adherence" -- "pharmacoepidemiology"
"medication adherence" -- "patient-provider communication"
"water-energy nexus" -- "urban water"
"water-energy nexus" -- "desalination"
"emerging economies" -- "business groups"
"molecular genetics" -- "microbiology"
"travel behavior" -- "transportation"
"travel behavior" -- "transportation planning"
"political marketing" -- "branding"
"clinical trials" -- "biostatistics"
"clinical trials" -- "ophthalmic epidemiology"
"brain" -- "mri"
"brain" -- "gene silencing"
"brain" -- "small"
"fluency" -- "speech production"
"low temperature physics" -- "condensed matter physics"
"evidence-based practice" -- "mental health"
"distributed databases" -- "distributed systems"
"host-parasite interactions" -- "evolution"
"host-parasite interactions" -- "insect immunity"
"energy research" -- "materials science"
"large-scale optimization" -- "machine learning"
"educational games" -- "serious games"
"marketing strategy" -- "innovation"
"marketing strategy" -- "marketing analytics"
"plant functional traits" -- "global change"
"thermochemistry" -- "computational chemistry"
"data mining" -- "healthcare analytics"
"data mining" -- "outlier detection"
"data mining" -- "business intelligence"
"data mining" -- "data privacy"
"data mining" -- "applied machine learning"
"data mining" -- "knowledge discovery"
"data mining" -- "data modeling"
"data mining" -- "knowledge graph"
"data mining" -- "decision support systems"
"data mining" -- "formal concept analysis"
"data mining" -- "social media mining"
"data mining" -- "graph analysis"
"data mining" -- "data warehousing"
"data mining" -- "business analytics"
"data mining" -- "machine learning"
"data mining" -- "clustering"
"data mining" -- "graph mining"
"data mining" -- "information networks"
"data mining" -- "medical informatics"
"data mining" -- "robust statistics"
"data mining" -- "databases"
"data mining" -- "fraud detection"
"data mining" -- "web mining"
"data mining" -- "health informatics"
"data mining" -- "big data management"
"data mining" -- "database management"
"data mining" -- "social networks"
"data mining" -- "recommendation"
"data mining" -- "social network analysis"
"data mining" -- "technology forecasting"
"data mining" -- "database systems"
"data mining" -- "data streams"
"bio" -- "nano"
"ritual" -- "religion"
"community psychology" -- "social psychology"
"fish biology" -- "aquaculture"
"peer relations" -- "loneliness"
"turkey" -- "migration"
"cognitive networks" -- "wireless networks"
"design cognition" -- "design computing"
"stochastic optimization" -- "operations research"
"cervical cancer" -- "hiv"
"cervical cancer" -- "hpv"
"second language teaching" -- "learning"
"gestão" -- "gestão do conhecimento"
"hybrid systems" -- "control theory"
"development economics" -- "institutional economics"
"development economics" -- "labor economics"
"development economics" -- "political economy"
"development economics" -- "environmental economics"
"x-ray imaging" -- "tomography"
"news media" -- "econometrics"
"news media" -- "online advertising"
"mediterranean" -- "palynology"
"isotopes" -- "geochemistry"
"it alignment" -- "requirements engineering"
"mining software repositories" -- "software engineering"
"digital rhetoric" -- "composites"
"data visualization" -- "machine learning"
"conservation" -- "protected areas"
"conservation" -- "ecology"
"conservation" -- "restoration"
"conservation" -- "seabirds"
"conservation" -- "orchids"
"work motivation" -- "leadership"
"healthcare operations" -- "operations management"
"homeostasis" -- "cancer"
"trace metals" -- "mercury"
"sexualidad" -- "antropologia urbana"
"sexualidad" -- "género"
"nonparametric" -- "applied econometrics"
"morphogenesis" -- "developmental biology"
"contemporary literature" -- "modernism"
"perception" -- "ecological psychology"
"perception" -- "action"
"perception" -- "attention"
"perception" -- "functional magnetic resonance imaging"
"extracellular vesicles" -- "exosomes"
"cross-cultural communication" -- "identity"
"psicometría" -- "psychometrics"
"psicometría" -- "análisis de datos"
"snow" -- "hydrology"
"routing protocols" -- "wireless sensor networks"
"mesoporous materials" -- "nanomaterials"
"turbidity currents" -- "sediment transport"
"manipulation" -- "robotics"
"soft" -- "condensed matter physics"
"hardware design" -- "image processing"
"volatility" -- "finance"
"psychopathology" -- "personality"
"psychopathology" -- "behavioral genetics"
"discrete event simulation" -- "operations research"
"statistical relational learning" -- "machine learning"
"automaticity" -- "affect"
"pakistan" -- "political islam"
"pakistan" -- "islam"
"metabolic engineering" -- "bioprocess engineering"
"metabolic engineering" -- "industrial biotechnology"
"metabolic engineering" -- "metabolic flux analysis"
"metabolic engineering" -- "plant metabolism"
"metabolic engineering" -- "synthetic biology"
"química orgânica" -- "síntese orgânica"
"química orgânica" -- "produtos naturais"
"química orgânica" -- "química"
"gastroenterology" -- "immunology"
"gastroenterology" -- "hepatology"
"gastroenterology" -- "helicobacter pylori"
"gastroenterology" -- "neurogastroenterology"
"gastroenterology" -- "endoscopy"
"gastroenterology" -- "celiac disease"
"gastroenterology" -- "inflammatory bowel disease"
"occupational medicine" -- "environmental health"
"climate variability" -- "atmospheric radiation"
"climate variability" -- "climate change"
"climate variability" -- "change"
"methanotrophy" -- "microbial physiology"
"conservation agriculture" -- "soil science"
"foundation engineering" -- "geotechnical engineering"
"exergy" -- "energy"
"symbolic computation" -- "computer algebra"
"toxicogenomics" -- "bioinformatics"
"translational research" -- "immunology"
"cognitive science" -- "artificial intelligence"
"cognitive science" -- "computational psycholinguistics"
"cognitive science" -- "philosophy"
"cognitive science" -- "language comprehension"
"cognitive science" -- "language use"
"cognitive science" -- "categorization"
"cognitive science" -- "computational modeling"
"cognitive science" -- "language production"
"cognitive science" -- "developmental science"
"cognitive science" -- "embodied cognition"
"cognitive science" -- "psycholinguistics"
"glycomics" -- "proteomics"
"heavy metals" -- "environmental chemistry"
"smart cities" -- "internet of things"
"focused ion beam" -- "electron microscopy"
"agile methods" -- "software engineering"
"compliance" -- "adherence"
"proof theory" -- "logic"
"sociology of technology" -- "science"
"photobiology" -- "biophysics"
"restoration ecology" -- "grasslands"
"restoration ecology" -- "plant community ecology"
"restoration ecology" -- "wetland ecology"
"medical humanities" -- "disability studies"
"neglected tropical diseases" -- "vector-borne diseases"
"invertebrates" -- "marine biology"
"thermal sciences" -- "heat transfer"
"thermal sciences" -- "nanoscale heat transfer"
"sea ice" -- "arctic"
"qtl mapping" -- "genetics"
"mechanism design" -- "market design"
"mechanism design" -- "game theory"
"market efficiency" -- "market microstructure"
"neurobiology of language" -- "cognitive neuroscience"
"air traffic control" -- "optimization"
"reduced order modeling" -- "computational fluid dynamics"
"urban rehabilitation" -- "cultural landscapes"
"urban rehabilitation" -- "cultural heritage management"
"numeracy" -- "emotion"
"road safety" -- "traffic psychology"
"road safety" -- "transportation"
"special functions" -- "fourier analysis"
"special functions" -- "orthogonal polynomials"
"cyber-physical systems" -- "embedded systems"
"cyber-physical systems" -- "embedded control systems"
"cyber-physical systems" -- "embedded"
"cyber-physical systems" -- "model-based design"
"cyber-physical systems" -- "real-time embedded systems"
"critical pedagogy" -- "education"
"critical pedagogy" -- "transformative learning"
"nonlinear photonics" -- "quantum photonics"
"vehicle" -- "control"
"child language" -- "linguistics"
"tecnologia da informação" -- "sistemas de informação"
"tecnologia da informação" -- "comunicação"
"open access" -- "academic publishing"
"open access" -- "research impact"
"open access" -- "open science"
"open access" -- "repositories"
"open access" -- "library"
"open access" -- "copyright"
"open access" -- "research data"
"open access" -- "scholarly publishing"
"text mining" -- "machine learning"
"free probability" -- "operator algebras"
"free probability" -- "random matrices"
"library management" -- "information literacy"
"usability engineering" -- "human-computer interaction"
"topology optimization" -- "structural optimization"
"single-molecule spectroscopy" -- "biophysics"
"colloids" -- "interfacial phenomena"
"colloids" -- "surfactants"
"colloids" -- "emulsions"
"colloids" -- "soft matter"
"colloids" -- "surface forces"
"colloids" -- "cellulose nanomaterials"
"colloids" -- "wetting"
"colloids" -- "interface science"
"colloids" -- "interfaces"
"colloids" -- "interfacial science"
"energy storage materials" -- "nanotechnology"
"condition monitoring" -- "vibration analysis"
"condition monitoring" -- "fault diagnosis"
"oil gas" -- "unconventional resources"
"social philosophy" -- "political philosophy"
"quantum chaos" -- "random matrix theory"
"ethnic conflict" -- "democratization"
"software analytics" -- "software engineering"
"assembly" -- "manufacturing systems"
"wireless networks" -- "vehicular networks"
"wireless networks" -- "wlan"
"wireless networks" -- "congestion control"
"wireless networks" -- "mac protocols"
"wireless networks" -- "wireless mesh networks"
"wireless networks" -- "green networking"
"wireless networks" -- "network economics"
"wireless networks" -- "wireless security"
"wireless networks" -- "ad hoc networks"
"wireless networks" -- "network algorithms"
"wireless networks" -- "cognitive radio networks"
"wireless networks" -- "telecommunication networks"
"wireless networks" -- "mobile computing"
"wireless networks" -- "mobile systems"
"wireless networks" -- "queuing theory"
"wireless networks" -- "mac"
"wireless networks" -- "sensor networks"
"wireless networks" -- "vanet"
"dissolved organic matter" -- "biogeochemistry"
"quantum monte carlo" -- "electronic structure"
"ab initio molecular dynamics" -- "density functional theory"
"microbiota" -- "microbiology"
"turbulence" -- "les"
"turbulence" -- "dns"
"turbulence" -- "compressible flow"
"turbulence" -- "particle image velocimetry"
"turbulence" -- "atmospheric boundary layer"
