"odontologia" -- "materiais dentários"
"transportation networks" -- "intelligent transportation systems"
"intelligent tutoring systems" -- "artificial intelligence"
"intelligent tutoring systems" -- "artificial intelligence in education"
"contemporary history" -- "nationalism studies"
"contemporary history" -- "storia contemporanea"
"contemporary history" -- "cultural history"
"language variation" -- "change"
"speech processing" -- "semiconductor device modeling"
"speech processing" -- "machine learning"
"speech processing" -- "speech synthesis"
"marine biogeochemistry" -- "oceanography"
"ir spectroscopy" -- "raman spectroscopy"
"crystal structure" -- "ceramics"
"system on chip" -- "embedded systems"
"system on chip" -- "digital hardware design"
"sociology of knowledge" -- "social theory"
"crystallographic texture" -- "ebsd"
"mathematical optimization" -- "operations research"
"seismic isolation" -- "earthquake engineering"
"marketing" -- "management"
"marketing" -- "consumer decision making"
"marketing" -- "advertising"
"marketing" -- "consumer research"
"marketing" -- "choice modelling"
"marketing" -- "b2b marketing"
"marketing" -- "cross-cultural"
"marketing" -- "consumer culture theory"
"marketing" -- "customer satisfaction"
"marketing" -- "macromarketing"
"marketing" -- "social media marketing"
"marketing" -- "marketing research"
"marketing" -- "services"
"marketing" -- "international marketing"
"marketing" -- "pricing"
"marketing" -- "tourism"
"marketing" -- "branding"
"marketing" -- "consumer psychology"
"marketing" -- "consumer"
"marketing" -- "fashion"
"marketing" -- "consumer behaviour"
"marketing" -- "comportamiento del consumidor"
"marketing" -- "consumer behavior"
"marketing" -- "retailing"
"marketing" -- "innovación"
"marketing" -- "brand management"
"marketing" -- "word of mouth"
"marketing" -- "consumer culture"
"marketing" -- "agribusiness"
"marketing" -- "sales"
