"depression" -- "suicide"
"depression" -- "brain stimulation"
"depression" -- "treatment"
"depression" -- "stress"
"depression" -- "anxiety"
"harmonic analysis" -- "partial differential equations"
"harmonic analysis" -- "functional analysis"
"groups" -- "teams"
"software engineering" -- "software testing"
"software engineering" -- "unitartucs"
"software engineering" -- "requirements engineering"
"software engineering" -- "open source"
"software engineering" -- "web engineering"
"software engineering" -- "model-driven engineering"
"software engineering" -- "adaptive systems"
"software engineering" -- "mining software repositories"
"software engineering" -- "software security"
"software engineering" -- "model-driven development"
"software engineering" -- "information systems"
"software engineering" -- "software maintenance"
"software engineering" -- "software evolution"
"software engineering" -- "web technologies"
"software engineering" -- "programming languages"
"software engineering" -- "formal methods"
"software engineering" -- "web development"
"software engineering" -- "sbse"
"software engineering" -- "program analysis"
"software engineering" -- "software quality"
"software engineering" -- "empirical software engineering"
"software engineering" -- "enterprise architecture"
"software engineering" -- "service oriented computing"
"software engineering" -- "computer science education"
"software engineering" -- "computing education"
"software engineering" -- "computer science"
"software engineering" -- "testing"
"software engineering" -- "reverse engineering"
"software engineering" -- "software product lines"
"software engineering" -- "software architecture"
"software engineering" -- "systems engineering"
"structural dynamics" -- "earthquake engineering"
"structural dynamics" -- "structural health monitoring"
"structural dynamics" -- "aeroelasticity"
"structural dynamics" -- "wind engineering"
"structural dynamics" -- "vibration control"
"structural dynamics" -- "vibration"
"two-phase flow" -- "heat transfer"
"time" -- "memory"
"underwater acoustics" -- "signal processing"
"angiogenesis" -- "cancer"
"spatial cognition" -- "navigation"
"animal breeding" -- "genetics"
"monetary economics" -- "macroeconomics"
"bioenergy" -- "biomass"
"bioenergy" -- "biofuels"
"history of education" -- "teacher education"
"environmental planning" -- "urban"
"hiv" -- "sexual health"
"hiv" -- "health disparities"
"hiv" -- "stigma"
"hiv" -- "drug abuse"
"hiv" -- "aids"
"hiv" -- "hcv"
"hiv" -- "epidemiology"
"hiv" -- "lgbt"
"hiv" -- "implementation science"
"hiv" -- "substance use"
"international relations theory" -- "international security"
"strongly correlated electron systems" -- "experimental condensed matter physics"
"strongly correlated electron systems" -- "superconductivity"
"latin american politics" -- "comparative politics"
"high pressure" -- "materials science"
"conflict management" -- "negotiation"
"antibodies" -- "immunology"
"cryo-em" -- "structural biology"
"stochastic processes" -- "probability theory"
"stochastic processes" -- "probability"
"ergodic theory" -- "dynamical systems"
"applied geophysics" -- "hydrogeophysics"
"organization studies" -- "management"
"dissemination" -- "implementation"
"dissemination" -- "implementation science"
"statistical genomics" -- "bioinformatics"
"forensic science" -- "statistics"
"organizational theory" -- "economic sociology"
"animal nutrition" -- "animal science"
"operator theory" -- "complex analysis"
"operator theory" -- "functional analysis"
"petrophysics" -- "geophysics"
"petrophysics" -- "reservoir characterization"
"psycholinguistics" -- "cognitive science"
"psycholinguistics" -- "language acquisition"
"psycholinguistics" -- "second language acquisition"
"psycholinguistics" -- "linguistics"
"psycholinguistics" -- "bilingualism"
"psycholinguistics" -- "neurolinguistics"
"cryosphere" -- "remote sensing"
"social development" -- "developmental psychology"
"russia" -- "migration"
"paleoclimate" -- "paleoceanography"
"paleoclimate" -- "geochemistry"
"clean energy" -- "fuel cells"
"plant-animal interactions" -- "ecology"
"laser spectroscopy" -- "physical chemistry"
"spatial planning" -- "urban planning"
"ultrasound imaging" -- "photoacoustic imaging"
"childhood" -- "gender"
"erosion" -- "hydrology"
"particle technology" -- "chemical engineering"
"vascular" -- "tissue engineering"
"applied linguistics" -- "intercultural communication"
"applied linguistics" -- "language education"
"applied linguistics" -- "call"
"applied linguistics" -- "sla"
"applied linguistics" -- "second language acquisition"
"applied linguistics" -- "tesol"
"surveying" -- "geodesy"
"happiness" -- "well-being"
"evolutionary ecology" -- "conservation biology"
"evolutionary ecology" -- "ecological genomics"
"nonlinear waves" -- "applied mathematics"
"aerospace" -- "control"
"organic electronics" -- "solar cells"
"organic electronics" -- "organic photovoltaics"
"organic electronics" -- "oled"
"organic electronics" -- "conjugated polymers"
"organic electronics" -- "organic solar cells"
"cell signaling" -- "cancer"
"bioenergetics" -- "mitochondria"
"international macroeconomics" -- "macroeconomics"
"functional materials" -- "devices"
"population ecology" -- "conservation biology"
"physical anthropology" -- "forensic anthropology"
"environmental" -- "resource economics"
"echocardiography" -- "cardiology"
"shakespeare" -- "digital humanities"
"sea level" -- "climate change"
"behavioral pharmacology" -- "drug abuse"
"microtubules" -- "cell biology"
"vaccinology" -- "immunology"
"soil mechanics" -- "geotechnical engineering"
"indoor air quality" -- "exposure assessment"
"numerical modeling" -- "rock mechanics"
"occupational health psychology" -- "organizational psychology"
"cancer metabolism" -- "systems biology"
"cancer prevention" -- "cancer survivorship"
"cancer prevention" -- "nutrition"
"ultrafast lasers" -- "nonlinear optics"
"dna damage" -- "repair"
"dna damage" -- "dna repair"
"dft" -- "catalysis"
"general relativity" -- "cosmology"
"literature" -- "creative writing"
"literature" -- "philosophy"
"literature" -- "science fiction"
"literature" -- "literary theory"
"crisis communication" -- "public relations"
"performance measurement" -- "management accounting"
"performance measurement" -- "performance management"
"genome editing" -- "stem cells"
"computational economics" -- "macroeconomics"
"corporate governance" -- "management accounting"
"corporate governance" -- "corporate law"
"corporate governance" -- "mergers"
"corporate governance" -- "institutional investors"
"corporate governance" -- "corporate finance"
"corporate governance" -- "corporate social responsibility"
"corporate governance" -- "earnings management"
"corporate governance" -- "auditing"
"corporate governance" -- "financial reporting"
"corporate governance" -- "executive compensation"
"microfinance" -- "development economics"
"phylogeny" -- "evolution"
"cardiovascular medicine" -- "vascular biology"
"gentrification" -- "housing"
"randomized algorithms" -- "approximation algorithms"
"technology transfer" -- "innovation"
"nanomagnetism" -- "spintronics"
"emergence" -- "complex systems"
"plant ecology" -- "conservation biology"
"gas" -- "energy"
"gas" -- "oil"
"inverse problems" -- "uncertainty quantification"
"inverse problems" -- "tomography"
"tunnelling" -- "rock mechanics"
"developmental biology" -- "stem cell biology"
"developmental biology" -- "zebrafish"
"developmental biology" -- "reproductive biology"
"developmental biology" -- "embryology"
"developmental biology" -- "genetics"
"developmental biology" -- "evo-devo"
"developmental biology" -- "developmental neurobiology"
"developmental biology" -- "morphogenesis"
"hvdc" -- "power electronics"
"protein folding" -- "protein misfolding"
"protein folding" -- "biophysics"
"protein folding" -- "intrinsically disordered proteins"
"mobile communication" -- "wireless communications"
"political economy" -- "political ecology"
"political economy" -- "cultural economics"
"political economy" -- "institutions"
"political economy" -- "economic development"
"political economy" -- "neoliberalism"
"political economy" -- "development economics"
"political economy" -- "comparative politics"
"political economy" -- "corruption"
"relationships" -- "health"
"international politics" -- "comparative"
"judicial politics" -- "american politics"
"vertebrate paleontology" -- "paleobiology"
"antennas" -- "filters"
"antennas" -- "microwave"
"antennas" -- "microwave circuits"
"antennas" -- "metamaterials"
"antennas" -- "propagation"
"antennas" -- "computational electromagnetics"
"antennas" -- "microwave engineering"
"antennas" -- "electromagnetics"
"antennas" -- "electromagnetic compatibility"
"antennas" -- "rfid"
"circuits" -- "systems"
"biopolymers" -- "polymers"
"biopolymers" -- "cellulose"
"sociolinguistics" -- "discourse analysis"
"sociolinguistics" -- "linguistic anthropology"
"sociolinguistics" -- "linguistics"
"sociolinguistics" -- "language policy"
"imunologia" -- "microbiologia"
"visual analytics" -- "information visualization"
"exosomes" -- "proteomics"
"rheology" -- "polymer blends"
"rheology" -- "polymers"
"rheology" -- "viscoelasticity"
"rheology" -- "complex fluids"
"intervention" -- "assessment"
"geophysical fluid dynamics" -- "physical oceanography"
"complexity science" -- "machine learning"
"vector biology" -- "population genetics"
"biomedical engineering" -- "medical devices"
"biomedical engineering" -- "neuroscience"
"biomedical engineering" -- "neural engineering"
"antropologia" -- "antropologia urbana"
"anxiety" -- "clinical psychology"
"anxiety" -- "cognitive behavioral therapy"
"consumer psychology" -- "marketing"
"biostatistics" -- "bioinformatics"
"biostatistics" -- "survival analysis"
"biostatistics" -- "clinical trials"
"biostatistics" -- "causal inference"
"biostatistics" -- "clinical research"
"biostatistics" -- "missing data"
"biostatistics" -- "clinical epidemiology"
"biostatistics" -- "biomedical research"
"biostatistics" -- "meta-analysis"
