"Sphodrosomus monteithi 67686" -- "Sphodrisomus 51535"
"Stephanactis tuberculata 18165" -- "Stephanauge 18133"
"None 16614" -- "Thomasomyine group and Sigmodontinae incertae sedis 16585"
"None 16614" -- "Rhipidomys 16613"
"None 16614" -- "Thomasomys 50677"
"Ocymyrmex afradu 25925" -- "Ocymyrmex 22744"
"None 51779" -- "None 51775"
"Plectruridae 2722" -- "None 2720"
"Pachyteles verruciger 1538" -- "None 52570"
"Tomosvaryella scopulata 55415" -- "Tomosvaryella 54668"
"None 52343" -- "None 52344"
"None 52343" -- "Melanocetus 22003"
"None 52343" -- "None 52342"
"Halcurias 17697" -- "Halcuriidae 17688"
"Pelloblatta 8669" -- "Oxyhaloinae 8304"
"Zetobora 8826" -- "None 8825"
"None 19313" -- "None 19312"
"None 19313" -- "None 19315"
"Oxyophthalma engaea 56422" -- "Oxyophthalma 12878"
"Astacopsis 7704" -- "None 7702"
"None 24037" -- "Mystrium 22252"
"None 24037" -- "None 24040"
"Oxyopomyrmex emeryi 25927" -- "Oxyopomyrmex 22745"
"None 14136" -- "Suwalliini 14137"
"None 14136" -- "Chloroperlinae 14130"
"None 14136" -- "Chloroperlini 14140"
"Thermodesulfatator 59634" -- "Thermodesulfobacteria 2287"
"None 68173" -- "None 68174"
"None 68173" -- "Sylvioidea 67276"
"None 68173" -- "None 68177"
"Rhynchotus rufescens 57538" -- "None 57618"
"None 11933" -- "None 11935"
"None 11933" -- "Prototheoridae 11888"
"None 11933" -- "Prototheora petrosema 11934"
"Omoglymmius emdomani 2178" -- "Omoglymmius (Omoglymmius s. str.) 2056"
"Orconectes (Procericambarus) forceps 7318" -- "None 7316"
"Parastagmatoptera hoorie 56161" -- "Parastagmatoptera 12942"
"None 65468" -- "Parnassius cardinal 65470"
"None 65468" -- "Parnassius staudingeri 65469"
"None 65468" -- "None 65467"
"Sphaerostylus brevipennis 1577" -- "Sphaerostylus (Sphaerostylus) 1576"
"None 51773" -- "None 51775"
"None 51773" -- "picipes-group 51771"
"Theropoda 15726" -- "Saurischia 15724"
"Theropoda 15726" -- "None 15759"
"Omoglymmius trisinuatus 2075" -- "None 2074"
"Orconectes (Orconectes) inermis inermis 7250" -- "Orconectes (Orconectes) 7128"
"Urumqia liudaowanensis 17540" -- "Seymouriamorpha 15005"
"Nemaliales 21746" -- "None 21743"
"None 49589" -- "None 49580"
"None 49589" -- "None 49590"
"Oxycercus 8350" -- "None 8338"
"Rhombopsammia 19125" -- "Micrabaciidae 19116"
"Pinus koraiensis 27203" -- "None 27181"
"Ptycta merapiensis 36066" -- "Ptycta 35174"
"Plesioglymmius (Ameroglymmius) 2215" -- "Plesioglymmius 2011"
"Plesioglymmius (Ameroglymmius) 2215" -- "Plesioglymmius compactus 2209"
"Plesioglymmius (Ameroglymmius) 2215" -- "Plesioglymmius meridionalis 2207"
"Plesioglymmius (Ameroglymmius) 2215" -- "Plesioglymmius reichardti 2208"
"None 1716" -- "None 1717"
"None 1716" -- "None 1715"
"Portia heteroidea 5439" -- "Portia 3103"
"Trichopedius 51701" -- "Pterostichini 102"
"Pseudobranchus striatus 15696" -- "None 15692"
"Rhabdomys 50714" -- "None 50711"
"Noegus coccineus 4957" -- "Noegus 2865"
"Pulicidae 14491" -- "Siphonaptera 8228"
"None 50670" -- "None 16568"
"None 50670" -- "None 50666"
"None 50670" -- "None 50671"
"None 50670" -- "Nesoryzomys 16571"
"Schizogenius pacificus 1035" -- "None 1034"
"None 76410" -- "None 76531"
"None 76410" -- "Aphrissa 76412"
"None 76410" -- "None 76408"
"Neon rayi 4938" -- "Neon 2958"
