"geomicrobiology" -- "biogeochemistry"
"gender studies" -- "women s"
"gender studies" -- "disability studies"
"educational leadership" -- "school improvement"
"forecasting" -- "time series analysis"
"magnetosphere" -- "space weather"
"severe plastic deformation" -- "thermomechanical processing"
"severe plastic deformation" -- "superplasticity"
"catalysis" -- "green chemistry"
"catalysis" -- "asymmetric synthesis"
"catalysis" -- "surface science"
"catalysis" -- "biomass conversion"
"borders" -- "political geography"
"knowledge engineering" -- "semantic web"
"optical wireless communications" -- "visible light communications"
"human-robot interaction" -- "robotics"
"indigenous studies" -- "anthropology"
"inclusion" -- "diversity"
"precambrian geology" -- "tectonics"
"microwave" -- "antennas"
"ictd" -- "ict4d"
"near-field optics" -- "plasmonics"
"patient safety" -- "clinical decision support"
"patient safety" -- "quality"
"graphical models" -- "machine learning"
"kinematics" -- "mechanics"
"phytotherapy" -- "phytochemistry"
"geotechnics" -- "geoenvironmental"
"paleoclimate" -- "paleoceanography"
"control theory" -- "robotics"
"clinical research" -- "biostatistics"
"timber engineering" -- "structural engineering"
"digital preservation" -- "archives"
"digital preservation" -- "data curation"
"digital preservation" -- "digital curation"
"hiv" -- "sexual health"
"hiv" -- "infectious diseases"
"membranes" -- "separation"
"marine ecology" -- "invertebrate zoology"
"teams" -- "groups"
"analysis" -- "pde"
"analysis" -- "algorithm design"
"microfluidics" -- "organ-on-a-chip"
"microfluidics" -- "single cell analysis"
"microfluidics" -- "microreactors"
"microfluidics" -- "lab-on-a-chip"
"microfluidics" -- "nanofluidics"
"2d materials" -- "graphene"
"analytical chemistry" -- "bioanalysis"
"analytical chemistry" -- "method development"
"analytical chemistry" -- "mass spectrometry"
"analytical chemistry" -- "chemometrics"
"safety" -- "occupational health"
"safety" -- "quality"
"lipids" -- "nutrition"
"nonlinear vibration" -- "structural dynamics"
"emotion regulation" -- "anxiety"
"emotion regulation" -- "temperament"
"query processing" -- "database systems"
"tobacco" -- "nicotine"
"neurology" -- "stroke"
"computer-mediated communication" -- "interpersonal communication"
"fiber lasers" -- "nonlinear optics"
"software defined networking" -- "network function virtualization"
"productivity analysis" -- "efficiency"
"attitudes" -- "persuasion"
"chemical oceanography" -- "marine chemistry"
"economics of innovation" -- "economics of science"
"efficiency" -- "productivity"
"efficiency" -- "banking"
"coastal processes" -- "geomorphology"
"history of political thought" -- "political philosophy"
"meteorology" -- "climatology"
"public participation" -- "urban planning"
"executive function" -- "cognitive aging"
"fsi" -- "cfd"
"business process management" -- "business process modeling"
"stochastic control" -- "robust control"
"stochastic control" -- "mathematical finance"
"inverse theory" -- "seismology"
"bioanalytical chemistry" -- "mass spectrometry"
"high pressure" -- "mineral physics"
"antibiotic resistance" -- "microbiology"
"lichenology" -- "botany"
"household finance" -- "behavioral finance"
"multiferroics" -- "oxides"
"multiferroics" -- "magnetism"
"risk analysis" -- "decision analysis"
"residual stress" -- "welding"
"comparative psychology" -- "evolutionary psychology"
"middle east" -- "islam"
"stem cells" -- "tissue regeneration"
"stem cells" -- "cardiomyocytes"
"stem cells" -- "pluripotency"
"stem cells" -- "regenerative medicine"
"stem cells" -- "muscular dystrophy"
"international marketing" -- "marketing strategy"
"biogeochemical cycles" -- "climate change"
"scheduling" -- "operations research"
"scheduling" -- "planning"
"density functional theory" -- "quantum chemistry"
"protein nmr" -- "structural biology"
"digital forensics" -- "cybercrime"
"digital forensics" -- "information security"
"arqueología" -- "prehistoria"
"disaster risk reduction" -- "climate change adaptation"
"disaster risk reduction" -- "natural hazards"
"behavioral finance" -- "corporate finance"
"dielectrics" -- "piezoelectric"
"hydrogeology" -- "karst"
"hydrogeology" -- "groundwater modeling"
"hydrogeology" -- "hydrochemistry"
"biofilms" -- "microbiology"
"membrane proteins" -- "structural biology"
"cvd" -- "thin films"
"nlp" -- "smt"
"productivity" -- "efficiency analysis"
"policy analysis" -- "public policy"
"traffic safety" -- "transportation engineering"
"historical geography" -- "cultural geography"
"global change" -- "ecosystem ecology"
"neurorehabilitation" -- "stroke"
"neurorehabilitation" -- "spinal cord injury"
"soil dynamics" -- "geotechnical earthquake engineering"
"soil dynamics" -- "geotechnical engineering"
"electromagnetic compatibility" -- "antennas"
"science education" -- "nature of science"
"science education" -- "learning sciences"
"archives" -- "special collections"
"primates" -- "behavior"
"early intervention" -- "autism spectrum disorder"
"astrophysics" -- "gravitational waves"
"astrophysics" -- "galaxy evolution"
"instrumentation" -- "sensors"
"educación" -- "sociología"
"educación" -- "pedagogía"
"educación" -- "tic"
"nmr" -- "metabonomics"
"nmr" -- "structural biology"
"phytoremediation" -- "bioremediation"
"separation" -- "co2 capture"
"peptides" -- "proteins"
"international criminal law" -- "international law"
"physical oceanography" -- "internal waves"
"physical oceanography" -- "ocean mixing"
"skull base surgery" -- "cerebrovascular surgery"
"animal nutrition" -- "animal science"
"neuroanatomy" -- "neurophysiology"
"quantum gravity" -- "string theory"
"thin films" -- "ald"
"thin films" -- "atomic layer deposition"
"thin films" -- "solar cells"
"thin films" -- "complex oxides"
"mechanics" -- "materials"
"surface science" -- "synchrotron radiation"
"surface science" -- "oxide surfaces"
"competition policy" -- "industrial organization"
"black holes" -- "neutron stars"
"black holes" -- "string theory"
"business process modeling" -- "requirements engineering"
"women" -- "gender"
"women" -- "politics"
"primary care" -- "family medicine"
"geodynamics" -- "tectonics"
"genomic selection" -- "animal breeding"
"landscape" -- "heritage"
"bacteriology" -- "microbiology"
"labor markets" -- "inequality"
"geoscience" -- "geology"
"derecho constitucional" -- "constitutional law"
"financial intermediation" -- "corporate finance"
"infectious diseases" -- "tuberculosis"
"infectious diseases" -- "molecular diagnostics"
"personality" -- "psychopathology"
"personality" -- "assessment"
"personality" -- "personality disorders"
"planning" -- "heuristic search"
"penology" -- "criminology"
"food processing" -- "food engineering"
"growth" -- "macroeconomics"
"rna" -- "proteins"
"rna" -- "dna"
"bioremediation" -- "environmental microbiology"
"laser scanning" -- "geomatics"
"instructional design" -- "distance education"
"instructional design" -- "instructional technology"
"digital culture" -- "new media"
"neurodegeneration" -- "alzheimer s disease"
"neurodegeneration" -- "als"
"lipidomics" -- "mass spectrometry"
"prognosis" -- "fault diagnosis"
"prognosis" -- "diagnosis"
"cardiac" -- "surgery"
"cultural geography" -- "social geography"
"continental philosophy" -- "political philosophy"
"continental philosophy" -- "phenomenology"
"nutrition" -- "hydration"
"nutrition" -- "breastfeeding"
"cultural anthropology" -- "social"
"art" -- "aesthetics"
"arctic" -- "antarctic"
"active perception" -- "robotics"
"magnetospheric physics" -- "space physics"
"eels" -- "stem"
"eels" -- "plasmonics"
"risk management" -- "financial engineering"
"structural dynamics" -- "model updating"
"optoelectronics" -- "semiconductor devices"
"optoelectronics" -- "iii-v semiconductors"
"optoelectronics" -- "photonics"
"optoelectronics" -- "semiconductor physics"
"creative writing" -- "poetry"
"rivers" -- "geomorphology"
"landscape planning" -- "urban planning"
"string theory" -- "ads"
"health management" -- "prognostics"
"telemedicine" -- "telehealth"
"cartilage" -- "osteoarthritis"
"animal behavior" -- "ethology"
"animal behavior" -- "behavioral ecology"
"microrheology" -- "soft matter"
"photodetectors" -- "solar cells"
"graphics" -- "visualization"
"new product development" -- "marketing strategy"
"rural development" -- "agricultural economics"
"metagenomics" -- "human microbiome"
"history of medicine" -- "history of science"
"inverse problems" -- "electrical impedance tomography"
"inverse problems" -- "tomography"
"money" -- "banking"
"reinforced concrete" -- "frp"
"ofdm" -- "visible light communications"
"oral health" -- "public health"
"regional anesthesia" -- "anesthesiology"
"space physics" -- "space weather"
"space physics" -- "ionosphere"
"disease ecology" -- "zoonoses"
"zno" -- "gan"
"genetics" -- "animal breeding"
"applied econometrics" -- "labor economics"
"environmental communication" -- "rhetoric"
"parasitology" -- "malaria"
"morphodynamics" -- "sediment transport"
"sports science" -- "sports medicine"
"computer algebra" -- "symbolic computation"
"diagnosis" -- "fault detection"
"industrial organization" -- "applied microeconomic theory"
"industrial organization" -- "applied microeconomics"
"energy transfer" -- "ultrafast spectroscopy"
"nano-optics" -- "plasmonics"
"market microstructure" -- "asset pricing"
"market microstructure" -- "market efficiency"
"parsing" -- "machine translation"
"pollination" -- "floral evolution"
"pollination" -- "plant-animal interactions"
"robotics" -- "slam"
"robotics" -- "robotic manipulation"
"energy law" -- "environmental law"
"international political economy" -- "foreign aid"
"international political economy" -- "international relations"
"ict4d" -- "e-government"
"electrospinning" -- "nanofibers"
"soft matter" -- "gels"
"plasmonics" -- "photonics"
"behavioural medicine" -- "health psychology"
"interconnection networks" -- "computer architecture"
"transfusion medicine" -- "hematology"
"media" -- "journalism"
"data curation" -- "data management"
"autism spectrum disorder" -- "intellectual disability"
"superfluidity" -- "bose-einstein condensation"
"fea" -- "cfd"
"plant-animal interactions" -- "ecological networks"
"labor economics" -- "public finance"
"labor economics" -- "applied microeconomics"
"kinetic theory" -- "partial differential equations"
"eating disorders" -- "body image"
"proteins" -- "nucleic acids"
"sociology of work" -- "employment"
"human behavioral ecology" -- "hunter-gatherers"
"human behavioral ecology" -- "evolutionary anthropology"
"allergy" -- "dermatology"
"tectonics" -- "seismology"
"tectonics" -- "paleomagnetism"
"transportation" -- "travel behaviour"
"transportation" -- "ports"
"nanofluidics" -- "electrokinetics"
"nanofluidics" -- "heat transfer"
"nde" -- "ultrasonics"
"cnt" -- "graphene"
"alzheimer s disease" -- "neurodegenerative disorders"
"adaptive control" -- "nonlinear"
"adaptive control" -- "nonlinear control"
"silicon photonics" -- "integrated optics"
"silicon photonics" -- "nonlinear optics"
"sexual health" -- "hiv prevention"
"corporate social responsibility" -- "corporate governance"
"biotechnology" -- "microbiology"
"sociology of knowledge" -- "social theory"
"african studies" -- "anthropology"
"climate variability" -- "monsoon"
"housing" -- "homelessness"
"housing" -- "segregation"
"entrepreneurial finance" -- "corporate finance"
"china" -- "asia"
"china" -- "east asia"
"china" -- "international relations"
"neurosurgery" -- "endovascular neurosurgery"
"neurosurgery" -- "cerebrovascular surgery"
"metaphysics" -- "philosophy of time"
"diophantine equations" -- "number theory"
"digital literacy" -- "information literacy"
"gps" -- "insar"
"computer vision" -- "human vision"
"computer vision" -- "image retrieval"
"computer vision" -- "face analysis"
"international law" -- "constitutional law"
"international law" -- "environmental law"
"criminal law" -- "constitutional law"
"criminal law" -- "evidence"
"geotechnical engineering" -- "offshore engineering"
"geotechnical engineering" -- "civil engineering"
"quantum hall effect" -- "graphene"
"public health" -- "health equity"
"geotechnical earthquake engineering" -- "soil-structure interaction"
"knowledge management" -- "organizational learning"
"combinatorial optimisation" -- "operations research"
"steel structures" -- "seismic design"
"health psychology" -- "chronic pain"
"bose-einstein condensation" -- "quantum gases"
"host-pathogen interactions" -- "microbiology"
"paleomagnetism" -- "rock magnetism"
"spatial cognition" -- "embodied cognition"
"spatial cognition" -- "navigation"
"glass" -- "gels"
"storage systems" -- "file"
"computational mathematics" -- "applied"
"adhd" -- "developmental psychopathology"
"public policy" -- "public administration"
"urban ecology" -- "urban forestry"
"algorithms" -- "computational complexity"
"algorithms" -- "complexity"
"algorithms" -- "computational geometry"
"aggression" -- "bullying"
"computational topology" -- "computational geometry"
"south asia" -- "gender"
"detonation" -- "shock waves"
"criminological theory" -- "criminology"
"static analysis" -- "abstract interpretation"
"urban planning" -- "housing policy"
"urban planning" -- "urban governance"
"requirements engineering" -- "software engineering"
"music theory" -- "music cognition"
"botany" -- "plant systematics"
"lysosomes" -- "autophagy"
"approximate computing" -- "computer architecture"
"corporate finance" -- "asset pricing"
"corporate finance" -- "financial institutions"
"corporate finance" -- "banking"
"corporate finance" -- "corporate governance"
"local government" -- "public administration"
"navigation" -- "gnss"
"open quantum systems" -- "entanglement"
"poetry" -- "american literature"
"motor control" -- "neuromechanics"
"motor control" -- "neurophysiology"
"transportation engineering" -- "road safety"
"journalism" -- "political communication"
"journalism" -- "new media"
"professional development" -- "teacher education"
"diagnostics" -- "prognostics"
"hyperspectral" -- "remote sensing"
"seismic imaging" -- "inversion"
"phenomenology" -- "heidegger"
"time-delay systems" -- "robust control"
"wireless communications" -- "signal processing for communications"
"wireless communications" -- "smart grid communications"
"anesthesia" -- "intensive care"
"prehistoria" -- "neolítico"
"school psychology" -- "assessment"
"gnss" -- "ionosphere"
"biomass conversion" -- "heterogeneous catalysis"
"radar meteorology" -- "cloud physics"
"gender" -- "sexual violence"
"gender" -- "masculinity"
"gender" -- "sexual orientation"
"anthropology" -- "kinship"
"visual perception" -- "visual neuroscience"
"computational geometry" -- "graph drawing"
"ifrs" -- "corporate governance"
"intracerebral hemorrhage" -- "stroke"
"petrology" -- "geology"
"radar" -- "sar"
"us foreign policy" -- "international relations"
"mineralogy" -- "mineral physics"
"urban geography" -- "political geography"
"evolutionary anthropology" -- "biological anthropology"
"life cycle costing" -- "life cycle assessment"
"public law" -- "constitutional law"
"perioperative medicine" -- "anesthesiology"
"singularity theory" -- "topology"
"microbiology" -- "bacteriophage"
"microbiology" -- "molecular genetics"
"microbiology" -- "host-microbe interactions"
"behavior" -- "neural circuits"
"shock waves" -- "explosion"
"dermatology" -- "dermatopathology"
"empirical software engineering" -- "software engineering"
"food webs" -- "ecological networks"
"food webs" -- "stable isotopes"
"food webs" -- "freshwater ecology"
"self" -- "identity"
"queueing" -- "operations research"
"number theory" -- "combinatorics"
"mixture models" -- "classification"
"rhetoric" -- "writing studies"
"optics" -- "optical engineering"
"optics" -- "physics"
"molecular biophysics" -- "structural biology"
"organization theory" -- "public management"
"heterogeneous catalysis" -- "reaction kinetics"
"neutron stars" -- "gravitational waves"
"integral equations" -- "partial differential equations"
"solar cells" -- "quantum dots"
"spatial ecology" -- "movement ecology"
"anesthesiology" -- "critical care"
"decision analysis" -- "operations research"
"asset pricing" -- "macro-finance"
"asset pricing" -- "hedge funds"
"land degradation" -- "remote sensing"
"software engineering education" -- "software engineering"
"ndt" -- "ultrasonics"
"constitutional law" -- "constitutional theory"
"constitutional law" -- "first amendment"
"english education" -- "teacher education"
"machining" -- "manufacturing"
"emotional learning" -- "social"
"germanium" -- "silicon"
"mass spectrometry" -- "chromatography"
"mass spectrometry" -- "proteomics"
"linguistics" -- "spanish"
"image quality" -- "image processing"
"probability" -- "combinatorics"
"surface chemistry" -- "flotation"
"category theory" -- "homological algebra"
"reading" -- "writing"
"reading" -- "word recognition"
"landsat" -- "remote sensing"
"ultrafast spectroscopy" -- "charge transfer"
"soil ecology" -- "ecosystem ecology"
"public health law" -- "health law"
"history of science" -- "history of technology"
"soft materials" -- "instability"
"quantum dots" -- "nanocrystals"
"multimedia security" -- "image processing"
"capillary electrophoresis" -- "chromatography"
"monetary" -- "macroeconomics"
"perception" -- "vision"
"political philosophy" -- "feminist philosophy"
"political philosophy" -- "social"
"genomics" -- "high-throughput sequencing"
"genomics" -- "sex chromosomes"
"genomics" -- "epigenomics"
"macroeconomics" -- "time series econometrics"
"macroeconomics" -- "macroeconometrics"
"platelets" -- "coagulation"
"public administration" -- "public management"
"art education" -- "teacher education"
"soil erosion" -- "geomorphology"
"magnetism" -- "neutron scattering"
"electronic design automation" -- "computer architecture"
"hplc" -- "gc-ms"
"als" -- "mnd"
"crop protection" -- "entomology"
"mathematical finance" -- "actuarial science"
"radiation oncology" -- "lung cancer"
"radiative transfer" -- "remote sensing"
"microlocal analysis" -- "partial differential equations"
"protein design" -- "structural biology"
"climate change" -- "downscaling"
"management science" -- "operations research"
"structural engineering" -- "civil engineering"
"refactoring" -- "software engineering"
"política" -- "sociología"
"anaesthesia" -- "critical care"
"photonics" -- "nonlinear optics"
"sport psychology" -- "exercise psychology"
"gender identity" -- "sexual orientation"
"cancer therapy" -- "drug delivery"
"formulation" -- "drug delivery"
"computational intelligence" -- "fuzzy logic"
"computer architecture" -- "compilers"
"computer architecture" -- "programming models"
"computer architecture" -- "gpus"
"learning sciences" -- "stem education"
"prognostics" -- "fault diagnosis"
"semantic web" -- "social web"
"optical imaging" -- "photoacoustic imaging"
"topological insulators" -- "graphene"
"cavitation" -- "cfd"
"mexico" -- "latin america"
"software engineering" -- "software ecosystems"
"software engineering" -- "software reuse"
"service management" -- "services marketing"
"finite geometry" -- "combinatorics"
"political parties" -- "british politics"
"information literacy" -- "embedded librarianship"
"nonlinear control" -- "robust control"
"music psychology" -- "music education"
"nonmonotonic reasoning" -- "logic programming"
"probabilistic graphical models" -- "machine learning"
"probabilistic graphical models" -- "bayesian networks"
"graphene" -- "heterostructures"
"graphene" -- "tmds"
"nonlinear optics" -- "ultrafast lasers"
"palaeobotany" -- "palynology"
"operations research" -- "industrial engineering"
"operations research" -- "mathematical optimization"
"energy technology" -- "heat transfer"
"organizational behaviour" -- "human resource management"
"physical geography" -- "geomorphology"
"operations management" -- "operations strategy"
"quantum theory" -- "quantum information"
"compilers" -- "runtime systems"
"heat transfer" -- "cfd"
"heat transfer" -- "fluid mechanics"
"glaciology" -- "geomorphology"
"multicultural education" -- "teacher education"
"quantum foundations" -- "quantum information"
"drug delivery" -- "pharmaceutical sciences"
"multiphase flow" -- "lattice boltzmann method"
"multiphase flow" -- "cfd"
"music" -- "music education"
"music" -- "dance"
"clinical decision support" -- "clinical informatics"
