"geomicrobiology" -- "biogeochemistry"
"counseling" -- "psychotherapy"
"nk cells" -- "immunology"
"media psychology" -- "media effects"
"democracy" -- "political theory"
"conflict resolution" -- "mediation"
"conflict resolution" -- "peacebuilding"
"power integrity" -- "signal integrity"
"microwave imaging" -- "computational electromagnetics"
"persuasive technology" -- "hci"
"attachment" -- "parenting"
"attachment" -- "developmental psychopathology"
"program evaluation" -- "causal inference"
"lactation" -- "nutrition"
"vlsi" -- "computer architecture"
"vlsi" -- "low power design"
"vlsi" -- "low power"
"transportation safety" -- "transportation engineering"
"numerical modeling" -- "rock mechanics"
"heart" -- "stem cells"
"basal ganglia" -- "dopamine"
"neuroprotection" -- "neurodegeneration"
"panel data" -- "econometrics"
"nanofabrication" -- "plasmonics"
"longitudinal data analysis" -- "survival analysis"
"therapeutics" -- "cancer biology"
"synthetic biology" -- "cell-free protein synthesis"
"synthetic biology" -- "dna nanotechnology"
"synthetic biology" -- "protein engineering"
"augmented reality" -- "virtual reality"
"space science" -- "astrophysics"
"heat pipes" -- "heat transfer"
"bariatric surgery" -- "obesity"
"granular materials" -- "discrete element method"
"environmental biotechnology" -- "environmental microbiology"
"biology" -- "ecology"
"human rights" -- "asylum"
"human rights" -- "constitutional law"
"non-volatile memory" -- "computer architecture"
"philosophy of law" -- "political philosophy"
"applied ecology" -- "conservation biology"
"gene therapy" -- "gene editing"
"gene therapy" -- "viral vectors"
"gene therapy" -- "retinal degeneration"
"concurrency" -- "formal methods"
"information visualization" -- "graph drawing"
"information visualization" -- "human-computer interaction"
"information visualization" -- "visual analytics"
"geophysics" -- "geology"
"geophysics" -- "geothermal"
"geophysics" -- "earthquake science"
"geophysics" -- "seismic"
"geophysics" -- "exploration seismology"
"geophysics" -- "magnetotellurics"
"geophysics" -- "rock physics"
"geophysics" -- "inversion"
"social policy" -- "poverty"
"social policy" -- "welfare state"
"social policy" -- "social work"
"inorganic chemistry" -- "main group chemistry"
"inorganic chemistry" -- "coordination chemistry"
"inorganic chemistry" -- "materials chemistry"
"inorganic chemistry" -- "organometallic chemistry"
"internet of things" -- "cloud computing"
"internet of things" -- "smart cities"
"internet of things" -- "wireless sensor networks"
"biomedical informatics" -- "clinical research informatics"
"biomedical informatics" -- "ontologies"
"artificial pancreas" -- "diabetes"
"demography" -- "fertility"
"demography" -- "population studies"
"demography" -- "social statistics"
"demography" -- "family"
"demography" -- "sociology"
"demography" -- "biodemography"
"performance" -- "theatre"
"phonetics" -- "laboratory phonology"
